split,tile,z,x,y,retrieved_train_tile,retrieved_same_zoom,feature_distance,mae_rgb,psnr_rgb,global_ssim_luma,val_rs_path,generated_map_path,target_map_path
val,14_7990_5130,14,7990,5130,14_7975_5123,True,0.025218,24.140976,18.332772,0.355588,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7990_5130.png,experiments/03_scgm_subset_reproduction/outputs/scgm_retrieval_baseline_generated_maps/14_7990_5130_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7990_5130.png
val,14_7990_5140,14,7990,5140,14_7975_5107,True,0.069060,24.567108,17.989919,0.269206,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7990_5140.png,experiments/03_scgm_subset_reproduction/outputs/scgm_retrieval_baseline_generated_maps/14_7990_5140_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7990_5140.png
val,14_7991_5104,14,7991,5104,14_7975_5109,True,0.077760,32.461506,16.439920,0.333892,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7991_5104.png,experiments/03_scgm_subset_reproduction/outputs/scgm_retrieval_baseline_generated_maps/14_7991_5104_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7991_5104.png
val,14_7991_5114,14,7991,5114,14_7974_5130,True,0.102184,11.016521,20.598853,0.199074,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7991_5114.png,experiments/03_scgm_subset_reproduction/outputs/scgm_retrieval_baseline_generated_maps/14_7991_5114_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7991_5114.png
val,14_7991_5118,14,7991,5118,14_7969_5111,True,0.032293,22.725266,16.989501,0.152804,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7991_5118.png,experiments/03_scgm_subset_reproduction/outputs/scgm_retrieval_baseline_generated_maps/14_7991_5118_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7991_5118.png
val,14_7991_5137,14,7991,5137,14_7975_5123,True,0.069035,24.726538,17.856100,0.315019,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7991_5137.png,experiments/03_scgm_subset_reproduction/outputs/scgm_retrieval_baseline_generated_maps/14_7991_5137_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7991_5137.png
val,14_7991_5142,14,7991,5142,14_7971_5108,True,0.036700,26.419119,17.513919,0.237243,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7991_5142.png,experiments/03_scgm_subset_reproduction/outputs/scgm_retrieval_baseline_generated_maps/14_7991_5142_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7991_5142.png
val,14_7992_5104,14,7992,5104,14_7973_5106,True,0.085251,8.639771,21.606089,0.207125,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7992_5104.png,experiments/03_scgm_subset_reproduction/outputs/scgm_retrieval_baseline_generated_maps/14_7992_5104_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7992_5104.png
val,14_7992_5113,14,7992,5113,14_7972_5129,True,0.176851,12.460831,19.467823,0.419112,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7992_5113.png,experiments/03_scgm_subset_reproduction/outputs/scgm_retrieval_baseline_generated_maps/14_7992_5113_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7992_5113.png
val,14_7992_5129,14,7992,5129,14_7975_5129,True,0.057139,2.944194,24.493144,0.495200,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7992_5129.png,experiments/03_scgm_subset_reproduction/outputs/scgm_retrieval_baseline_generated_maps/14_7992_5129_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7992_5129.png
val,14_7992_5143,14,7992,5143,14_7970_5114,True,0.055796,30.788000,17.233219,0.488405,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7992_5143.png,experiments/03_scgm_subset_reproduction/outputs/scgm_retrieval_baseline_generated_maps/14_7992_5143_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7992_5143.png
val,14_7993_5110,14,7993,5110,14_7974_5130,True,0.058364,9.763611,22.643600,0.222859,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7993_5110.png,experiments/03_scgm_subset_reproduction/outputs/scgm_retrieval_baseline_generated_maps/14_7993_5110_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7993_5110.png
val,14_7993_5114,14,7993,5114,14_7973_5130,True,0.048329,14.403549,19.605767,0.156737,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7993_5114.png,experiments/03_scgm_subset_reproduction/outputs/scgm_retrieval_baseline_generated_maps/14_7993_5114_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7993_5114.png
val,14_7993_5116,14,7993,5116,14_7974_5130,True,0.053134,6.843877,25.042677,0.279962,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7993_5116.png,experiments/03_scgm_subset_reproduction/outputs/scgm_retrieval_baseline_generated_maps/14_7993_5116_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7993_5116.png
val,14_7993_5117,14,7993,5117,14_7972_5129,True,0.044937,16.815750,18.237757,0.368904,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7993_5117.png,experiments/03_scgm_subset_reproduction/outputs/scgm_retrieval_baseline_generated_maps/14_7993_5117_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7993_5117.png
val,14_7993_5122,14,7993,5122,14_7971_5118,True,0.030093,20.351313,18.173117,0.155364,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7993_5122.png,experiments/03_scgm_subset_reproduction/outputs/scgm_retrieval_baseline_generated_maps/14_7993_5122_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7993_5122.png
val,14_7994_5132,14,7994,5132,14_7974_5126,True,0.077812,24.988434,17.937885,0.213312,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7994_5132.png,experiments/03_scgm_subset_reproduction/outputs/scgm_retrieval_baseline_generated_maps/14_7994_5132_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7994_5132.png
val,14_7994_5135,14,7994,5135,14_7975_5107,True,0.078653,24.651011,17.969294,0.248745,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7994_5135.png,experiments/03_scgm_subset_reproduction/outputs/scgm_retrieval_baseline_generated_maps/14_7994_5135_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7994_5135.png
val,14_7994_5137,14,7994,5137,14_7975_5120,True,0.060257,31.796576,16.911795,0.444703,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7994_5137.png,experiments/03_scgm_subset_reproduction/outputs/scgm_retrieval_baseline_generated_maps/14_7994_5137_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7994_5137.png
val,14_7995_5113,14,7995,5113,14_7972_5129,True,0.294495,16.936127,17.819214,0.040054,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7995_5113.png,experiments/03_scgm_subset_reproduction/outputs/scgm_retrieval_baseline_generated_maps/14_7995_5113_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7995_5113.png
val,14_7995_5116,14,7995,5116,14_7972_5129,True,0.072486,23.199173,17.046765,-0.122815,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7995_5116.png,experiments/03_scgm_subset_reproduction/outputs/scgm_retrieval_baseline_generated_maps/14_7995_5116_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7995_5116.png
val,14_7995_5117,14,7995,5117,14_7972_5129,True,0.156841,17.414566,18.019227,-0.004496,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7995_5117.png,experiments/03_scgm_subset_reproduction/outputs/scgm_retrieval_baseline_generated_maps/14_7995_5117_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7995_5117.png
val,14_7995_5120,14,7995,5120,14_7976_5107,True,0.029484,22.634497,18.412644,0.156960,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7995_5120.png,experiments/03_scgm_subset_reproduction/outputs/scgm_retrieval_baseline_generated_maps/14_7995_5120_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7995_5120.png
val,14_7995_5127,14,7995,5127,14_7975_5130,True,0.072900,2.991486,29.275704,0.467621,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7995_5127.png,experiments/03_scgm_subset_reproduction/outputs/scgm_retrieval_baseline_generated_maps/14_7995_5127_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7995_5127.png
val,14_7996_5109,14,7996,5109,14_7972_5129,True,0.049910,17.483658,18.363131,0.332390,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7996_5109.png,experiments/03_scgm_subset_reproduction/outputs/scgm_retrieval_baseline_generated_maps/14_7996_5109_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7996_5109.png
val,14_7996_5110,14,7996,5110,14_7974_5130,True,0.076315,7.962982,23.557554,0.201309,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7996_5110.png,experiments/03_scgm_subset_reproduction/outputs/scgm_retrieval_baseline_generated_maps/14_7996_5110_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7996_5110.png
val,14_7996_5122,14,7996,5122,14_7971_5109,True,0.059149,17.125259,19.532473,0.019893,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7996_5122.png,experiments/03_scgm_subset_reproduction/outputs/scgm_retrieval_baseline_generated_maps/14_7996_5122_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7996_5122.png
val,14_7996_5125,14,7996,5125,14_7970_5122,True,0.070786,25.790415,16.131192,0.197012,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7996_5125.png,experiments/03_scgm_subset_reproduction/outputs/scgm_retrieval_baseline_generated_maps/14_7996_5125_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7996_5125.png
