split,tile,z,x,y,retrieved_train_tile,retrieved_same_zoom,feature_distance,mae_rgb,psnr_rgb,global_ssim_luma,val_rs_path,generated_map_path,target_map_path
val,14_7997_5123,14,7997,5123,14_7973_5128,True,0.226698,3.934357,25.938285,0.307831,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7997_5123.png,experiments/03_scgm_subset_reproduction/outputs/scgm_multifeature_retrieval_generated_maps/14_7997_5123_multifeature_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7997_5123.png
val,14_7998_5114,14,7998,5114,14_7974_5130,True,0.188210,13.743164,18.841028,0.149760,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7998_5114.png,experiments/03_scgm_subset_reproduction/outputs/scgm_multifeature_retrieval_generated_maps/14_7998_5114_multifeature_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7998_5114.png
val,14_7998_5120,14,7998,5120,14_7974_5110,True,0.262772,31.904257,16.903080,0.486607,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7998_5120.png,experiments/03_scgm_subset_reproduction/outputs/scgm_multifeature_retrieval_generated_maps/14_7998_5120_multifeature_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7998_5120.png
val,14_7999_5112,14,7999,5112,14_7975_5114,True,0.191521,32.994190,16.117664,0.168956,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7999_5112.png,experiments/03_scgm_subset_reproduction/outputs/scgm_multifeature_retrieval_generated_maps/14_7999_5112_multifeature_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7999_5112.png
val,14_7999_5114,14,7999,5114,14_7974_5115,True,0.209328,28.619181,17.074733,0.114553,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7999_5114.png,experiments/03_scgm_subset_reproduction/outputs/scgm_multifeature_retrieval_generated_maps/14_7999_5114_multifeature_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7999_5114.png
val,14_7999_5127,14,7999,5127,14_7976_5118,True,0.154911,31.168890,17.143750,0.650988,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7999_5127.png,experiments/03_scgm_subset_reproduction/outputs/scgm_multifeature_retrieval_generated_maps/14_7999_5127_multifeature_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7999_5127.png
val,14_8000_5112,14,8000,5112,14_7975_5116,True,0.201214,29.977774,16.560659,0.168059,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_8000_5112.png,experiments/03_scgm_subset_reproduction/outputs/scgm_multifeature_retrieval_generated_maps/14_8000_5112_multifeature_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_8000_5112.png
val,14_8000_5113,14,8000,5113,14_7974_5130,True,0.197607,7.590530,24.684331,0.292137,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_8000_5113.png,experiments/03_scgm_subset_reproduction/outputs/scgm_multifeature_retrieval_generated_maps/14_8000_5113_multifeature_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_8000_5113.png
val,14_8000_5116,14,8000,5116,14_7974_5115,True,0.158011,31.366602,16.865847,0.288358,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_8000_5116.png,experiments/03_scgm_subset_reproduction/outputs/scgm_multifeature_retrieval_generated_maps/14_8000_5116_multifeature_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_8000_5116.png
val,14_8001_5111,14,8001,5111,14_7976_5117,True,0.188958,27.737844,17.235635,0.179614,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_8001_5111.png,experiments/03_scgm_subset_reproduction/outputs/scgm_multifeature_retrieval_generated_maps/14_8001_5111_multifeature_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_8001_5111.png
