split,tile,z,x,y,mae_rgb,psnr_rgb,global_ssim_luma,val_rs_path,generated_map_path,target_map_path
val,14_7992_5143,14,7992,5143,18.002731,21.417698,0.479841,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7992_5143.png,experiments/03_scgm_subset_reproduction/outputs/scgm_local_context_ridge_generated_maps/14_7992_5143_local_context_ridge.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7992_5143.png
val,14_7993_5110,14,7993,5110,14.196838,22.555842,0.242459,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7993_5110.png,experiments/03_scgm_subset_reproduction/outputs/scgm_local_context_ridge_generated_maps/14_7993_5110_local_context_ridge.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7993_5110.png
val,14_7993_5114,14,7993,5114,15.658707,20.837877,0.183582,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7993_5114.png,experiments/03_scgm_subset_reproduction/outputs/scgm_local_context_ridge_generated_maps/14_7993_5114_local_context_ridge.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7993_5114.png
val,14_7993_5116,14,7993,5116,13.471364,23.119473,0.278840,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7993_5116.png,experiments/03_scgm_subset_reproduction/outputs/scgm_local_context_ridge_generated_maps/14_7993_5116_local_context_ridge.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7993_5116.png
val,14_7993_5117,14,7993,5117,16.891699,20.909613,0.120577,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7993_5117.png,experiments/03_scgm_subset_reproduction/outputs/scgm_local_context_ridge_generated_maps/14_7993_5117_local_context_ridge.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7993_5117.png
val,14_7993_5122,14,7993,5122,22.432638,19.423634,0.381162,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7993_5122.png,experiments/03_scgm_subset_reproduction/outputs/scgm_local_context_ridge_generated_maps/14_7993_5122_local_context_ridge.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7993_5122.png
val,14_7994_5132,14,7994,5132,11.418961,24.103487,0.478950,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7994_5132.png,experiments/03_scgm_subset_reproduction/outputs/scgm_local_context_ridge_generated_maps/14_7994_5132_local_context_ridge.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7994_5132.png
val,14_7994_5135,14,7994,5135,18.296234,21.214247,0.576073,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7994_5135.png,experiments/03_scgm_subset_reproduction/outputs/scgm_local_context_ridge_generated_maps/14_7994_5135_local_context_ridge.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7994_5135.png
val,14_7994_5137,14,7994,5137,18.395508,21.299340,0.512282,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7994_5137.png,experiments/03_scgm_subset_reproduction/outputs/scgm_local_context_ridge_generated_maps/14_7994_5137_local_context_ridge.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7994_5137.png
val,14_7995_5113,14,7995,5113,14.719686,21.060636,0.055268,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7995_5113.png,experiments/03_scgm_subset_reproduction/outputs/scgm_local_context_ridge_generated_maps/14_7995_5113_local_context_ridge.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7995_5113.png
val,14_7995_5116,14,7995,5116,20.443609,19.951834,0.144972,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7995_5116.png,experiments/03_scgm_subset_reproduction/outputs/scgm_local_context_ridge_generated_maps/14_7995_5116_local_context_ridge.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7995_5116.png
val,14_7995_5117,14,7995,5117,13.947108,22.523472,0.179227,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7995_5117.png,experiments/03_scgm_subset_reproduction/outputs/scgm_local_context_ridge_generated_maps/14_7995_5117_local_context_ridge.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7995_5117.png
val,14_7995_5120,14,7995,5120,16.995050,21.954058,0.424957,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7995_5120.png,experiments/03_scgm_subset_reproduction/outputs/scgm_local_context_ridge_generated_maps/14_7995_5120_local_context_ridge.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7995_5120.png
val,14_7995_5127,14,7995,5127,21.926615,19.631939,0.534975,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7995_5127.png,experiments/03_scgm_subset_reproduction/outputs/scgm_local_context_ridge_generated_maps/14_7995_5127_local_context_ridge.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7995_5127.png
val,14_7996_5109,14,7996,5109,18.406153,20.533098,-0.025837,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7996_5109.png,experiments/03_scgm_subset_reproduction/outputs/scgm_local_context_ridge_generated_maps/14_7996_5109_local_context_ridge.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7996_5109.png
val,14_7996_5110,14,7996,5110,14.096817,22.693942,0.272126,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7996_5110.png,experiments/03_scgm_subset_reproduction/outputs/scgm_local_context_ridge_generated_maps/14_7996_5110_local_context_ridge.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7996_5110.png
