baseline,tile_a,tile_b,direction,generated_seam_absdiff,target_seam_absdiff,generated_minus_target,stress_ratio,generated_a_path,generated_b_path
neural MLP,14_7990_5114,14_7991_5114,right,0.000000,8.635417,-8.635417,0.000000,experiments/03_scgm_subset_reproduction/outputs/scgm_mlp_generated_maps/14_7990_5114_mlp.png,experiments/03_scgm_subset_reproduction/outputs/scgm_mlp_generated_maps/14_7991_5114_mlp.png
neural MLP,14_7991_5104,14_7992_5104,right,74.692711,0.445312,74.247398,167.731000,experiments/03_scgm_subset_reproduction/outputs/scgm_mlp_generated_maps/14_7991_5104_mlp.png,experiments/03_scgm_subset_reproduction/outputs/scgm_mlp_generated_maps/14_7992_5104_mlp.png
neural MLP,14_7993_5116,14_7993_5117,down,0.023438,2.083333,-2.059896,0.011250,experiments/03_scgm_subset_reproduction/outputs/scgm_mlp_generated_maps/14_7993_5116_mlp.png,experiments/03_scgm_subset_reproduction/outputs/scgm_mlp_generated_maps/14_7993_5117_mlp.png
neural MLP,14_7995_5116,14_7995_5117,down,0.000000,6.001302,-6.001302,0.000000,experiments/03_scgm_subset_reproduction/outputs/scgm_mlp_generated_maps/14_7995_5116_mlp.png,experiments/03_scgm_subset_reproduction/outputs/scgm_mlp_generated_maps/14_7995_5117_mlp.png
neural MLP,14_7996_5109,14_7996_5110,down,0.135417,2.597656,-2.462240,0.052130,experiments/03_scgm_subset_reproduction/outputs/scgm_mlp_generated_maps/14_7996_5109_mlp.png,experiments/03_scgm_subset_reproduction/outputs/scgm_mlp_generated_maps/14_7996_5110_mlp.png
neural MLP,14_7998_5114,14_7999_5114,right,0.000000,9.363281,-9.363281,0.000000,experiments/03_scgm_subset_reproduction/outputs/scgm_mlp_generated_maps/14_7998_5114_mlp.png,experiments/03_scgm_subset_reproduction/outputs/scgm_mlp_generated_maps/14_7999_5114_mlp.png
neural MLP,14_7999_5112,14_8000_5112,right,0.000000,2.322917,-2.322917,0.000000,experiments/03_scgm_subset_reproduction/outputs/scgm_mlp_generated_maps/14_7999_5112_mlp.png,experiments/03_scgm_subset_reproduction/outputs/scgm_mlp_generated_maps/14_8000_5112_mlp.png
neural MLP,14_8000_5112,14_8000_5113,down,0.000000,4.080729,-4.080729,0.000000,experiments/03_scgm_subset_reproduction/outputs/scgm_mlp_generated_maps/14_8000_5112_mlp.png,experiments/03_scgm_subset_reproduction/outputs/scgm_mlp_generated_maps/14_8000_5113_mlp.png
neural MLP,14_8004_5091,14_8005_5091,right,24.438803,2.190104,22.248698,11.158739,experiments/03_scgm_subset_reproduction/outputs/scgm_mlp_generated_maps/14_8004_5091_mlp.png,experiments/03_scgm_subset_reproduction/outputs/scgm_mlp_generated_maps/14_8005_5091_mlp.png
neural MLP,14_8010_5105,14_8010_5106,down,30.207031,8.839844,21.367188,3.417145,experiments/03_scgm_subset_reproduction/outputs/scgm_mlp_generated_maps/14_8010_5105_mlp.png,experiments/03_scgm_subset_reproduction/outputs/scgm_mlp_generated_maps/14_8010_5106_mlp.png
neural MLP,14_8010_5114,14_8010_5115,down,0.000000,4.307292,-4.307292,0.000000,experiments/03_scgm_subset_reproduction/outputs/scgm_mlp_generated_maps/14_8010_5114_mlp.png,experiments/03_scgm_subset_reproduction/outputs/scgm_mlp_generated_maps/14_8010_5115_mlp.png
local-context ridge,14_7980_5147,14_7981_5147,right,6.069010,2.743490,3.325521,2.212150,experiments/03_scgm_subset_reproduction/outputs/scgm_local_context_ridge_generated_maps/14_7980_5147_local_context_ridge.png,experiments/03_scgm_subset_reproduction/outputs/scgm_local_context_ridge_generated_maps/14_7981_5147_local_context_ridge.png
local-context ridge,14_7990_5114,14_7991_5114,right,7.290365,8.635417,-1.345052,0.844240,experiments/03_scgm_subset_reproduction/outputs/scgm_local_context_ridge_generated_maps/14_7990_5114_local_context_ridge.png,experiments/03_scgm_subset_reproduction/outputs/scgm_local_context_ridge_generated_maps/14_7991_5114_local_context_ridge.png
local-context ridge,14_7991_5104,14_7992_5104,right,4.635417,0.445312,4.190104,10.409356,experiments/03_scgm_subset_reproduction/outputs/scgm_local_context_ridge_generated_maps/14_7991_5104_local_context_ridge.png,experiments/03_scgm_subset_reproduction/outputs/scgm_local_context_ridge_generated_maps/14_7992_5104_local_context_ridge.png
local-context ridge,14_7993_5116,14_7993_5117,down,7.183594,2.083333,5.100260,3.448125,experiments/03_scgm_subset_reproduction/outputs/scgm_local_context_ridge_generated_maps/14_7993_5116_local_context_ridge.png,experiments/03_scgm_subset_reproduction/outputs/scgm_local_context_ridge_generated_maps/14_7993_5117_local_context_ridge.png
local-context ridge,14_7995_5116,14_7995_5117,down,12.412761,6.001302,6.411458,2.068345,experiments/03_scgm_subset_reproduction/outputs/scgm_local_context_ridge_generated_maps/14_7995_5116_local_context_ridge.png,experiments/03_scgm_subset_reproduction/outputs/scgm_local_context_ridge_generated_maps/14_7995_5117_local_context_ridge.png
local-context ridge,14_7996_5109,14_7996_5110,down,6.316406,2.597656,3.718750,2.431579,experiments/03_scgm_subset_reproduction/outputs/scgm_local_context_ridge_generated_maps/14_7996_5109_local_context_ridge.png,experiments/03_scgm_subset_reproduction/outputs/scgm_local_context_ridge_generated_maps/14_7996_5110_local_context_ridge.png
local-context ridge,14_7998_5114,14_7999_5114,right,10.625000,9.363281,1.261719,1.134752,experiments/03_scgm_subset_reproduction/outputs/scgm_local_context_ridge_generated_maps/14_7998_5114_local_context_ridge.png,experiments/03_scgm_subset_reproduction/outputs/scgm_local_context_ridge_generated_maps/14_7999_5114_local_context_ridge.png
local-context ridge,14_7999_5112,14_8000_5112,right,8.540364,2.322917,6.217448,3.676569,experiments/03_scgm_subset_reproduction/outputs/scgm_local_context_ridge_generated_maps/14_7999_5112_local_context_ridge.png,experiments/03_scgm_subset_reproduction/outputs/scgm_local_context_ridge_generated_maps/14_8000_5112_local_context_ridge.png
local-context ridge,14_8000_5112,14_8000_5113,down,9.973958,4.080729,5.893229,2.444161,experiments/03_scgm_subset_reproduction/outputs/scgm_local_context_ridge_generated_maps/14_8000_5112_local_context_ridge.png,experiments/03_scgm_subset_reproduction/outputs/scgm_local_context_ridge_generated_maps/14_8000_5113_local_context_ridge.png
local-context ridge,14_8004_5091,14_8005_5091,right,5.242188,2.190104,3.052083,2.393579,experiments/03_scgm_subset_reproduction/outputs/scgm_local_context_ridge_generated_maps/14_8004_5091_local_context_ridge.png,experiments/03_scgm_subset_reproduction/outputs/scgm_local_context_ridge_generated_maps/14_8005_5091_local_context_ridge.png
local-context ridge,14_8010_5105,14_8010_5106,down,7.276042,8.839844,-1.563802,0.823096,experiments/03_scgm_subset_reproduction/outputs/scgm_local_context_ridge_generated_maps/14_8010_5105_local_context_ridge.png,experiments/03_scgm_subset_reproduction/outputs/scgm_local_context_ridge_generated_maps/14_8010_5106_local_context_ridge.png
local-context ridge,14_8010_5114,14_8010_5115,down,11.339844,4.307292,7.032552,2.632709,experiments/03_scgm_subset_reproduction/outputs/scgm_local_context_ridge_generated_maps/14_8010_5114_local_context_ridge.png,experiments/03_scgm_subset_reproduction/outputs/scgm_local_context_ridge_generated_maps/14_8010_5115_local_context_ridge.png
convolutional filter-bank ridge,14_7980_5147,14_7981_5147,right,3.842448,2.743490,1.098958,1.400570,experiments/03_scgm_subset_reproduction/outputs/scgm_convolutional_filter_ridge_generated_maps/14_7980_5147_conv_filter_ridge.png,experiments/03_scgm_subset_reproduction/outputs/scgm_convolutional_filter_ridge_generated_maps/14_7981_5147_conv_filter_ridge.png
convolutional filter-bank ridge,14_7990_5114,14_7991_5114,right,6.852865,8.635417,-1.782552,0.793577,experiments/03_scgm_subset_reproduction/outputs/scgm_convolutional_filter_ridge_generated_maps/14_7990_5114_conv_filter_ridge.png,experiments/03_scgm_subset_reproduction/outputs/scgm_convolutional_filter_ridge_generated_maps/14_7991_5114_conv_filter_ridge.png
convolutional filter-bank ridge,14_7991_5104,14_7992_5104,right,4.175781,0.445312,3.730469,9.377193,experiments/03_scgm_subset_reproduction/outputs/scgm_convolutional_filter_ridge_generated_maps/14_7991_5104_conv_filter_ridge.png,experiments/03_scgm_subset_reproduction/outputs/scgm_convolutional_filter_ridge_generated_maps/14_7992_5104_conv_filter_ridge.png
convolutional filter-bank ridge,14_7993_5116,14_7993_5117,down,4.128906,2.083333,2.045573,1.981875,experiments/03_scgm_subset_reproduction/outputs/scgm_convolutional_filter_ridge_generated_maps/14_7993_5116_conv_filter_ridge.png,experiments/03_scgm_subset_reproduction/outputs/scgm_convolutional_filter_ridge_generated_maps/14_7993_5117_conv_filter_ridge.png
convolutional filter-bank ridge,14_7995_5116,14_7995_5117,down,9.358073,6.001302,3.356771,1.559340,experiments/03_scgm_subset_reproduction/outputs/scgm_convolutional_filter_ridge_generated_maps/14_7995_5116_conv_filter_ridge.png,experiments/03_scgm_subset_reproduction/outputs/scgm_convolutional_filter_ridge_generated_maps/14_7995_5117_conv_filter_ridge.png
convolutional filter-bank ridge,14_7996_5109,14_7996_5110,down,5.398438,2.597656,2.800781,2.078195,experiments/03_scgm_subset_reproduction/outputs/scgm_convolutional_filter_ridge_generated_maps/14_7996_5109_conv_filter_ridge.png,experiments/03_scgm_subset_reproduction/outputs/scgm_convolutional_filter_ridge_generated_maps/14_7996_5110_conv_filter_ridge.png
convolutional filter-bank ridge,14_7998_5114,14_7999_5114,right,6.191406,9.363281,-3.171875,0.661243,experiments/03_scgm_subset_reproduction/outputs/scgm_convolutional_filter_ridge_generated_maps/14_7998_5114_conv_filter_ridge.png,experiments/03_scgm_subset_reproduction/outputs/scgm_convolutional_filter_ridge_generated_maps/14_7999_5114_conv_filter_ridge.png
convolutional filter-bank ridge,14_7999_5112,14_8000_5112,right,6.617188,2.322917,4.294271,2.848655,experiments/03_scgm_subset_reproduction/outputs/scgm_convolutional_filter_ridge_generated_maps/14_7999_5112_conv_filter_ridge.png,experiments/03_scgm_subset_reproduction/outputs/scgm_convolutional_filter_ridge_generated_maps/14_8000_5112_conv_filter_ridge.png
convolutional filter-bank ridge,14_8000_5112,14_8000_5113,down,9.342448,4.080729,5.261719,2.289407,experiments/03_scgm_subset_reproduction/outputs/scgm_convolutional_filter_ridge_generated_maps/14_8000_5112_conv_filter_ridge.png,experiments/03_scgm_subset_reproduction/outputs/scgm_convolutional_filter_ridge_generated_maps/14_8000_5113_conv_filter_ridge.png
convolutional filter-bank ridge,14_8004_5091,14_8005_5091,right,5.363281,2.190104,3.173177,2.448870,experiments/03_scgm_subset_reproduction/outputs/scgm_convolutional_filter_ridge_generated_maps/14_8004_5091_conv_filter_ridge.png,experiments/03_scgm_subset_reproduction/outputs/scgm_convolutional_filter_ridge_generated_maps/14_8005_5091_conv_filter_ridge.png
convolutional filter-bank ridge,14_8010_5105,14_8010_5106,down,4.992188,8.839844,-3.847656,0.564737,experiments/03_scgm_subset_reproduction/outputs/scgm_convolutional_filter_ridge_generated_maps/14_8010_5105_conv_filter_ridge.png,experiments/03_scgm_subset_reproduction/outputs/scgm_convolutional_filter_ridge_generated_maps/14_8010_5106_conv_filter_ridge.png
convolutional filter-bank ridge,14_8010_5114,14_8010_5115,down,8.559896,4.307292,4.252604,1.987304,experiments/03_scgm_subset_reproduction/outputs/scgm_convolutional_filter_ridge_generated_maps/14_8010_5114_conv_filter_ridge.png,experiments/03_scgm_subset_reproduction/outputs/scgm_convolutional_filter_ridge_generated_maps/14_8010_5115_conv_filter_ridge.png
patch-embedding retrieval,14_7980_5147,14_7981_5147,right,10.264323,2.743490,7.520834,3.741339,experiments/03_scgm_subset_reproduction/outputs/scgm_patch_embedding_retrieval_generated_maps/14_7980_5147_patch_embedding_retrieval.png,experiments/03_scgm_subset_reproduction/outputs/scgm_patch_embedding_retrieval_generated_maps/14_7981_5147_patch_embedding_retrieval.png
patch-embedding retrieval,14_7990_5114,14_7991_5114,right,13.345052,8.635417,4.709635,1.545386,experiments/03_scgm_subset_reproduction/outputs/scgm_patch_embedding_retrieval_generated_maps/14_7990_5114_patch_embedding_retrieval.png,experiments/03_scgm_subset_reproduction/outputs/scgm_patch_embedding_retrieval_generated_maps/14_7991_5114_patch_embedding_retrieval.png
patch-embedding retrieval,14_7991_5104,14_7992_5104,right,12.722656,0.445312,12.277344,28.570175,experiments/03_scgm_subset_reproduction/outputs/scgm_patch_embedding_retrieval_generated_maps/14_7991_5104_patch_embedding_retrieval.png,experiments/03_scgm_subset_reproduction/outputs/scgm_patch_embedding_retrieval_generated_maps/14_7992_5104_patch_embedding_retrieval.png
patch-embedding retrieval,14_7993_5116,14_7993_5117,down,8.167969,2.083333,6.084635,3.920625,experiments/03_scgm_subset_reproduction/outputs/scgm_patch_embedding_retrieval_generated_maps/14_7993_5116_patch_embedding_retrieval.png,experiments/03_scgm_subset_reproduction/outputs/scgm_patch_embedding_retrieval_generated_maps/14_7993_5117_patch_embedding_retrieval.png
